Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; With a mortgage:,Margin of Error; With a mortgage:,Estimate; With a mortgage: - Less than 2.0,Margin of Error; With a mortgage: - Less than 2.0,Estimate; With a mortgage: - 2.0 to 2.9,Margin of Error; With a mortgage: - 2.0 to 2.9,Estimate; With a mortgage: - 3.0 to 3.9,Margin of Error; With a mortgage: - 3.0 to 3.9,Estimate; With a mortgage: - 4.0 or more,Margin of Error; With a mortgage: - 4.0 or more,Estimate; With a mortgage: - Not computed,Margin of Error; With a mortgage: - Not computed,Estimate; Not mortgaged:,Margin of Error; Not mortgaged:,Estimate; Not mortgaged: - Less than 2.0,Margin of Error; Not mortgaged: - Less than 2.0,Estimate; Not mortgaged: - 2.0 to 2.9,Margin of Error; Not mortgaged: - 2.0 to 2.9,Estimate; Not mortgaged: - 3.0 to 3.9,Margin of Error; Not mortgaged: - 3.0 to 3.9,Estimate; Not mortgaged: - 4.0 or more,Margin of Error; Not mortgaged: - 4.0 or more,Estimate; Not mortgaged: - Not computed,Margin of Error; Not mortgaged: - Not computed
0500000US06055,6055,"Napa County, California",2007,32301,1522,23407,1580,855,472,1170,459,1331,477,19882,1634,169,232,8894,1094,1577,618,817,362,571,287,5929,848,0,292
0500000US06057,6057,"Nevada County, California",2007,28349,1647,19635,1711,502,318,1182,670,1301,595,16384,1667,266,251,8714,1198,431,259,562,308,917,385,6777,1133,27,44
0500000US06059,6059,"Orange County, California",2007,612493,5755,474371,6181,21208,2126,27296,2690,47341,3184,376391,6087,2135,684,138122,4094,12741,1460,7866,1139,8419,1357,107985,3471,1111,561
0500000US06061,6061,"Placer County, California",2007,89508,2618,67194,2681,2034,665,7036,1423,11224,1414,46673,2387,227,266,22314,1767,2177,680,1330,539,1558,553,17132,1657,117,142
0500000US06065,6065,"Riverside County, California",2007,452798,6660,348396,6475,16470,1818,29786,2763,52651,3081,247521,6469,1968,807,104402,3727,19744,1571,9687,1337,8878,1166,64766,3394,1327,560
0500000US06067,6067,"Sacramento County, California",2007,307787,5148,241655,5377,12733,1782,30725,2323,44972,3379,152647,5357,578,407,66132,2767,7622,1173,6940,1070,7288,1215,43777,2618,505,456
0500000US06071,6071,"San Bernardino County, California",2007,386391,6425,306394,6367,15757,1698,28998,2721,45125,3558,215147,6000,1367,682,79997,3516,13463,1655,6315,1085,7779,1499,51714,2967,726,535
0500000US06073,6073,"San Diego County, California",2007,584243,7869,447396,7654,15377,1624,30406,2712,57090,3660,343032,7587,1491,625,136847,4639,16122,1789,7129,1201,9715,1335,102772,4081,1109,488
0500000US06075,6075,"San Francisco County, California",2007,121809,4211,88448,3953,5585,1020,5654,1021,8790,1576,68145,3424,274,206,33361,2337,2301,624,979,428,1711,648,28163,2145,207,208
0500000US06077,6077,"San Joaquin County, California",2007,131039,4269,100008,4237,3844,788,9226,1652,14787,1906,71892,3785,259,231,31031,2049,4200,1033,2297,685,2589,550,21846,1769,99,115
0500000US06079,6079,"San Luis Obispo County, California",2007,59915,2816,42061,2684,1577,526,1960,737,4366,1024,33770,2582,388,395,17854,1432,1151,398,1152,405,1452,777,14040,1316,59,103
0500000US06081,6081,"San Mateo County, California",2007,155617,3522,115367,3518,5707,1125,6892,1226,8878,1364,93535,3486,355,248,40250,2401,3163,804,1823,647,1830,600,33387,2338,47,78
0500000US06083,6083,"Santa Barbara County, California",2007,76420,2216,54610,2295,2239,781,2782,770,5872,1196,43336,2271,381,313,21810,1736,2096,587,1366,520,1195,381,16953,1508,200,191
0500000US06085,6085,"Santa Clara County, California",2007,354395,6539,271367,6265,15104,1656,16114,2015,29118,2579,210067,5079,964,533,83028,3487,7822,1377,3568,666,5487,917,65568,3018,583,326
0500000US06087,6087,"Santa Cruz County, California",2007,55748,2309,39666,2351,1434,558,1383,501,3071,721,33778,2242,0,292,16082,1386,1491,543,1131,562,1496,469,11964,1251,0,292
0500000US06089,6089,"Shasta County, California",2007,44597,2017,30278,2037,1868,575,4317,953,5551,1050,18485,2038,57,94,14319,1393,3577,865,787,347,1315,471,8523,1035,117,113
0500000US06095,6095,"Solano County, California",2007,90775,2452,73365,2572,2030,637,5647,1161,11531,1406,54157,2646,0,292,17410,1514,2552,687,1104,358,1443,469,12311,1371,0,292
0500000US06097,6097,"Sonoma County, California",2007,110167,2654,79142,2463,3020,760,3743,939,6451,1292,65584,2938,344,244,31025,2040,2447,777,1537,494,2093,624,24761,1720,187,144
0500000US06099,6099,"Stanislaus County, California",2007,100425,3289,76512,2932,3858,999,7977,1458,11711,1528,52873,2744,93,148,23913,1922,2762,692,1347,606,2321,728,17322,1657,161,166
0500000US06101,6101,"Sutter County, California",2007,20769,1166,14727,1397,1620,595,2386,782,2835,765,7838,1220,48,82,6042,835,359,319,949,426,597,284,4063,747,74,107
