Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Median value for units with a mortgage,Margin of Error; Total: - Median value for units with a mortgage,Estimate; Total: - Median value for units without a mortgage,Margin of Error; Total: - Median value for units without a mortgage
0500000US06065,6065,"Riverside County, California",2011,222700,4417,235500,5375,171600,8123
0500000US06067,6067,"Sacramento County, California",2011,217000,4509,218100,5915,213000,7798
0500000US06071,6071,"San Bernardino County, California",2011,211500,6571,225100,6808,164600,9354
0500000US06073,6073,"San Diego County, California",2011,396500,3593,406100,7126,368300,9239
0500000US06075,6075,"San Francisco County, California",2011,719800,12955,724600,17994,707300,26289
0500000US06077,6077,"San Joaquin County, California",2011,196800,6691,202200,7266,173000,11405
0500000US06079,6079,"San Luis Obispo County, California",2011,402200,19407,427200,23697,362000,27466
0500000US06081,6081,"San Mateo County, California",2011,706300,10103,711500,11273,690200,23696
0500000US06083,6083,"Santa Barbara County, California",2011,447700,22554,448300,28534,446300,52653
0500000US06085,6085,"Santa Clara County, California",2011,627400,7567,630800,8825,614900,19819
0500000US06087,6087,"Santa Cruz County, California",2011,532200,21640,551500,25777,469100,63122
0500000US06089,6089,"Shasta County, California",2011,203700,12973,217600,13455,170300,14041
0500000US06095,6095,"Solano County, California",2011,256400,10171,261900,11667,238000,23966
0500000US06097,6097,"Sonoma County, California",2011,398900,10185,404300,14574,385800,17562
0500000US06099,6099,"Stanislaus County, California",2011,161900,4162,165700,5249,151200,10141
0500000US06101,6101,"Sutter County, California",2011,175900,14326,187900,18999,139600,32164
0500000US06107,6107,"Tulare County, California",2011,152500,4321,155000,5094,140500,19856
0500000US06111,6111,"Ventura County, California",2011,433100,7370,444100,8436,386900,20411
0500000US06113,6113,"Yolo County, California",2011,290200,21767,294500,23726,275300,52920
0500000US06115,6115,"Yuba County, California",2011,162600,11203,168400,11028,118200,19311
0500000US06001,6001,"Alameda County, California",2012,472900,8290,484300,10088,438700,16858
0500000US06007,6007,"Butte County, California",2012,203100,10045,209700,11232,178000,30710
0500000US06013,6013,"Contra Costa County, California",2012,381300,8374,389200,10076,350200,17323
0500000US06017,6017,"El Dorado County, California",2012,335700,10912,345500,14681,313800,26345
0500000US06019,6019,"Fresno County, California",2012,174200,3816,178400,6022,160500,10629
0500000US06023,6023,"Humboldt County, California",2012,280400,11727,285800,13184,265700,25066
0500000US06025,6025,"Imperial County, California",2012,133800,13800,153400,11398,98800,19634
0500000US06029,6029,"Kern County, California",2012,150200,4779,154300,4829,131000,14200
0500000US06031,6031,"Kings County, California",2012,161200,8182,168400,9094,132800,24762
0500000US06033,6033,"Lake County, California",2012,149300,17097,159000,11240,110100,32713
0500000US06037,6037,"Los Angeles County, California",2012,399500,3194,401200,4588,394700,5146
0500000US06039,6039,"Madera County, California",2012,168800,6079,168700,6415,169000,17070
0500000US06041,6041,"Marin County, California",2012,752900,29912,757400,34213,742200,62745
0500000US06045,6045,"Mendocino County, California",2012,297200,21851,301800,26076,287700,47187
0500000US06047,6047,"Merced County, California",2012,138100,7247,141000,7935,124200,19133
0500000US06053,6053,"Monterey County, California",2012,318200,12539,317400,15311,320600,30278
0500000US06055,6055,"Napa County, California",2012,396500,17002,418100,25759,353500,25976
0500000US06057,6057,"Nevada County, California",2012,324600,19904,329500,23755,312700,36257
0500000US06059,6059,"Orange County, California",2012,492200,5104,506200,8661,449500,10107
0500000US06061,6061,"Placer County, California",2012,319300,8781,325100,8753,297200,18556
0500000US06065,6065,"Riverside County, California",2012,220000,3775,233200,3921,168200,6208
0500000US06067,6067,"Sacramento County, California",2012,213500,4127,217700,4808,198700,8445
0500000US06071,6071,"San Bernardino County, California",2012,206100,4110,220800,4586,157500,7643
0500000US06073,6073,"San Diego County, California",2012,386400,3606,395000,4241,352400,8691
0500000US06075,6075,"San Francisco County, California",2012,727600,14500,724500,16335,737400,38058
0500000US06077,6077,"San Joaquin County, California",2012,190600,6093,199800,7561,165600,7586
0500000US06079,6079,"San Luis Obispo County, California",2012,410900,18701,429500,19604,364500,32338
0500000US06081,6081,"San Mateo County, California",2012,701900,11033,703000,12708,698900,24404
0500000US06083,6083,"Santa Barbara County, California",2012,409700,36291,409300,41313,410600,65455
0500000US06085,6085,"Santa Clara County, California",2012,634600,6951,634900,6984,633400,19991
0500000US06087,6087,"Santa Cruz County, California",2012,545700,18950,544600,21315,549400,43665
0500000US06089,6089,"Shasta County, California",2012,202500,11320,204800,13601,195400,28586
0500000US06095,6095,"Solano County, California",2012,234900,6439,241200,6882,199200,19078
0500000US06097,6097,"Sonoma County, California",2012,380100,7795,383800,8449,364100,21150
0500000US06099,6099,"Stanislaus County, California",2012,159800,4342,163000,4855,144600,14216
0500000US06101,6101,"Sutter County, California",2012,166500,5598,167200,5694,162700,24015
0500000US06107,6107,"Tulare County, California",2012,155100,3937,159900,4852,127000,16268
0500000US06111,6111,"Ventura County, California",2012,413100,7079,423400,7642,375700,18374
0500000US06113,6113,"Yolo County, California",2012,280800,14322,286700,16292,252100,44776
0500000US06115,6115,"Yuba County, California",2012,175800,15859,185400,10828,111100,23718
0500000US06001,6001,"Alameda County, California",2013,518900,9781,530900,11462,481900,19270
0500000US06007,6007,"Butte County, California",2013,217600,10164,233100,11844,180500,21013
0500000US06013,6013,"Contra Costa County, California",2013,424100,11512,441000,11984,374500,19996
0500000US06017,6017,"El Dorado County, California",2013,352900,12804,373300,15070,302400,25981
0500000US06019,6019,"Fresno County, California",2013,185200,5954,193000,6783,166100,5788
0500000US06023,6023,"Humboldt County, California",2013,259500,12540,267100,14385,244600,19998
0500000US06025,6025,"Imperial County, California",2013,148400,9215,161800,10203,117800,16843
0500000US06029,6029,"Kern County, California",2013,161000,4533,170100,5150,123000,10900
