Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; With a mortgage:,Margin of Error; With a mortgage:,"Estimate; With a mortgage: - Less than $50,000","Margin of Error; With a mortgage: - Less than $50,000","Estimate; With a mortgage: - $50,000 to $99,999","Margin of Error; With a mortgage: - $50,000 to $99,999","Estimate; With a mortgage: - $100,000 to $149,999","Margin of Error; With a mortgage: - $100,000 to $149,999","Estimate; With a mortgage: - $150,000 to $199,999","Margin of Error; With a mortgage: - $150,000 to $199,999","Estimate; With a mortgage: - $200,000 to $299,999","Margin of Error; With a mortgage: - $200,000 to $299,999","Estimate; With a mortgage: - $300,000 to $499,999","Margin of Error; With a mortgage: - $300,000 to $499,999","Estimate; With a mortgage: - $500,000 or more","Margin of Error; With a mortgage: - $500,000 or more",Estimate; Not mortgaged:,Margin of Error; Not mortgaged:,"Estimate; Not mortgaged: - Less than $50,000","Margin of Error; Not mortgaged: - Less than $50,000","Estimate; Not mortgaged: - $50,000 to $99,999","Margin of Error; Not mortgaged: - $50,000 to $99,999","Estimate; Not mortgaged: - $100,000 to $149,999","Margin of Error; Not mortgaged: - $100,000 to $149,999","Estimate; Not mortgaged: - $150,000 to $199,999","Margin of Error; Not mortgaged: - $150,000 to $199,999","Estimate; Not mortgaged: - $200,000 to $299,999","Margin of Error; Not mortgaged: - $200,000 to $299,999","Estimate; Not mortgaged: - $300,000 to $499,999","Margin of Error; Not mortgaged: - $300,000 to $499,999","Estimate; Not mortgaged: - $500,000 or more","Margin of Error; Not mortgaged: - $500,000 or more"
0500000US06083,6083,"Santa Barbara County, California",2006,75011,2009,51465,2401,465,331,248,190,542,299,826,347,1630,540,12578,1409,35176,2308,23546,1786,1094,441,785,374,731,348,1207,453,1646,641,5364,769,12719,1363
0500000US06085,6085,"Santa Clara County, California",2006,354810,6056,275979,5947,1848,665,5462,1097,2126,744,2387,812,2719,754,23297,2422,238140,5624,78831,3241,3824,876,5782,1037,1675,581,1293,557,1391,602,4563,790,60303,3086
0500000US06087,6087,"Santa Cruz County, California",2006,55666,2221,41706,2288,101,119,405,240,263,287,641,289,1170,476,4540,925,34586,1987,13960,1319,174,144,566,280,1133,519,390,249,1235,527,1596,597,8866,1080
0500000US06089,6089,"Shasta County, California",2006,44889,2165,29380,1966,211,183,678,330,1204,401,2665,778,9924,1696,10493,1221,4205,816,15509,1434,1661,598,1667,483,827,444,1341,504,3328,776,5001,995,1684,459
0500000US06095,6095,"Solano County, California",2006,90468,3012,76112,3038,641,322,646,328,779,373,497,280,3361,852,32300,2197,37888,2435,14356,1372,952,349,886,359,642,322,266,214,799,354,6113,1056,4698,815
0500000US06097,6097,"Sonoma County, California",2006,114133,3091,83329,3106,811,394,1092,593,934,432,480,315,1537,588,16786,1891,61689,3069,30804,2310,1989,583,2214,558,1384,688,333,259,1825,550,4379,786,18680,1971
0500000US06099,6099,"Stanislaus County, California",2006,102731,3409,79838,3013,660,328,660,331,965,528,1533,614,11682,1720,46731,2915,17607,2002,22893,1962,2220,618,1113,452,850,320,700,338,4057,747,9947,1396,4006,815
0500000US06101,6101,"Sutter County, California",2006,19526,1348,15127,1457,141,141,355,277,363,264,399,242,3413,732,8177,1112,2279,721,4399,690,280,200,479,242,358,238,552,247,1254,369,887,348,589,255
0500000US06107,6107,"Tulare County, California",2006,72770,2612,53815,2349,819,469,2752,850,5648,1182,8095,1404,17791,1876,13207,1706,5503,970,18955,1542,2399,501,2426,684,2603,668,3090,578,3820,681,2495,594,2122,640
0500000US06111,6111,"Ventura County, California",2006,177961,3791,142963,3752,544,330,1729,623,346,226,1450,577,2340,631,19605,1986,116949,3537,34998,2585,1917,693,2355,700,1703,548,1283,524,1008,456,6145,1064,20587,1926
0500000US06113,6113,"Yolo County, California",2006,36338,1546,27712,1639,384,296,561,418,103,126,252,191,3090,861,11285,1430,12037,1218,8626,1030,1008,387,216,187,247,192,212,211,1404,490,2562,686,2977,722
0500000US06115,6115,"Yuba County, California",2006,13381,1162,9293,1214,114,142,141,140,404,260,1048,447,2950,795,3717,873,919,474,4088,634,350,236,249,171,461,374,408,235,1119,461,1127,436,374,240
0500000US06001,6001,"Alameda County, California",2007,298409,5528,231047,5330,1749,503,3292,640,1783,615,1059,484,5048,1135,37183,2692,180933,5248,67362,3400,2383,842,3348,777,1592,568,839,359,2408,564,10409,1450,46383,2775
0500000US06007,6007,"Butte County, California",2007,50554,2046,32463,2187,603,424,990,436,2017,679,2870,770,8601,1178,12572,1674,4810,905,18091,1675,2871,844,1733,460,1037,394,2250,570,3591,901,4692,843,1917,493
0500000US06013,6013,"Contra Costa County, California",2007,260823,4027,207504,4425,1251,455,1817,692,792,400,1192,498,6366,1458,53381,3098,142705,3592,53319,2633,3055,919,1643,506,654,317,1593,573,3003,671,12323,1632,31048,2080
0500000US06017,6017,"El Dorado County, California",2007,48954,1913,38957,2089,33,56,251,322,0,292,301,187,2468,681,15357,1676,20547,1401,9997,1056,962,513,756,269,95,103,366,252,842,320,2655,576,4321,766
