Id,Id2,Geography,Year,Estimate; Total,Margin of Error; Total
0500000US06071,6071,"San Bernardino County, California",2013,703253,1845
0500000US06073,6073,"San Diego County, California",2013,1176799,1482
0500000US06075,6075,"San Francisco County, California",2013,381001,1184
0500000US06077,6077,"San Joaquin County, California",2013,235940,603
0500000US06079,6079,"San Luis Obispo County, California",2013,118213,1004
0500000US06081,6081,"San Mateo County, California",2013,272154,594
0500000US06083,6083,"Santa Barbara County, California",2013,153526,826
0500000US06085,6085,"Santa Clara County, California",2013,642654,699
0500000US06087,6087,"Santa Cruz County, California",2013,104677,553
0500000US06089,6089,"Shasta County, California",2013,77533,350
0500000US06095,6095,"Solano County, California",2013,153867,357
0500000US06097,6097,"Sonoma County, California",2013,205684,495
0500000US06099,6099,"Stanislaus County, California",2013,179705,303
0500000US06101,6101,"Sutter County, California",2013,33954,111
0500000US06107,6107,"Tulare County, California",2013,144323,319
0500000US06111,6111,"Ventura County, California",2013,282819,599
0500000US06113,6113,"Yolo County, California",2013,75710,550
0500000US06115,6115,"Yuba County, California",2013,27746,291
