Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
0500000US06085,6085,"Santa Clara County, California",2010,1763714,4451,1031225,20116,732489,20151
0500000US06087,6087,"Santa Cruz County, California",2010,241449,10451,142167,8693,99282,9461
0500000US06089,6089,"Shasta County, California",2010,174496,3034,116052,6353,58444,5340
0500000US06095,6095,"Solano County, California",2010,401683,4919,250163,8984,151520,8964
0500000US06097,6097,"Sonoma County, California",2010,477002,3195,281371,10093,195631,9957
0500000US06099,6099,"Stanislaus County, California",2010,508793,3983,297130,11596,211663,11480
0500000US06101,6101,"Sutter County, California",2010,92976,1580,51975,4217,41001,4308
0500000US06107,6107,"Tulare County, California",2010,438701,3107,249195,10347,189506,10547
0500000US06111,6111,"Ventura County, California",2010,811012,7950,506654,16030,304358,17309
0500000US06113,6113,"Yolo County, California",2010,184529,10387,101441,7172,83088,9346
0500000US06115,6115,"Yuba County, California",2010,69701,2244,46486,3687,23215,3771
0500000US06001,6001,"Alameda County, California",2011,1498479,2218,826444,17511,672035,17630
0500000US06007,6007,"Butte County, California",2011,214879,1287,124268,6292,90611,6595
0500000US06013,6013,"Contra Costa County, California",2011,1055785,1300,701836,15933,353949,15974
0500000US06017,6017,"El Dorado County, California",2011,179148,695,129557,6012,49591,6047
0500000US06019,6019,"Fresno County, California",2011,924101,2620,490017,16693,434084,17338
0500000US06023,6023,"Humboldt County, California",2011,130317,1308,73365,5612,56952,5622
0500000US06025,6025,"Imperial County, California",2011,165530,1159,94507,6624,71023,6648
0500000US06029,6029,"Kern County, California",2011,819634,3014,450491,14861,369143,14929
0500000US06031,6031,"Kings County, California",2011,132405,2141,72810,5407,59595,5459
0500000US06033,6033,"Lake County, California",2011,63308,608,35605,3256,27703,3227
0500000US06037,6037,"Los Angeles County, California",2011,9716471,6036,4756283,48393,4960188,47987
0500000US06039,6039,"Madera County, California",2011,141394,1906,78695,6245,62699,5977
0500000US06041,6041,"Marin County, California",2011,245183,1918,150758,6984,94425,6542
0500000US06045,6045,"Mendocino County, California",2011,84801,1093,48758,4129,36043,4176
0500000US06047,6047,"Merced County, California",2011,256121,881,126894,8378,129227,8254
0500000US06053,6053,"Monterey County, California",2011,398172,6629,178968,9543,219204,9507
0500000US06055,6055,"Napa County, California",2011,132710,1337,69060,5489,63650,5594
0500000US06057,6057,"Nevada County, California",2011,97444,643,70493,4498,26951,4559
0500000US06059,6059,"Orange County, California",2011,3013570,2225,1759823,24225,1253747,24789
0500000US06061,6061,"Placer County, California",2011,353066,1126,256651,8193,96415,8409
0500000US06065,6065,"Riverside County, California",2011,2203676,3502,1445000,28157,758676,27887
0500000US06067,6067,"Sacramento County, California",2011,1409649,3976,794485,19113,615164,19511
0500000US06071,6071,"San Bernardino County, California",2011,2020235,5604,1251024,28663,769211,28065
0500000US06073,6073,"San Diego County, California",2011,3049086,6444,1638507,22772,1410579,23257
0500000US06075,6075,"San Francisco County, California",2011,793288,2395,337693,13060,455595,12926
0500000US06077,6077,"San Joaquin County, California",2011,679757,2139,386945,14311,292812,14420
0500000US06079,6079,"San Luis Obispo County, California",2011,257650,2611,141529,6866,116121,6795
0500000US06081,6081,"San Mateo County, California",2011,717816,1116,436574,11218,281242,11094
0500000US06083,6083,"Santa Barbara County, California",2011,410661,2002,196112,8610,214549,8767
0500000US06085,6085,"Santa Clara County, California",2011,1777607,2373,1027471,19814,750136,19897
0500000US06087,6087,"Santa Cruz County, California",2011,253650,1147,141898,7130,111752,7228
0500000US06089,6089,"Shasta County, California",2011,174817,1162,113765,5872,61052,5911
0500000US06095,6095,"Solano County, California",2011,404505,1284,247950,9287,156555,9506
0500000US06097,6097,"Sonoma County, California",2011,478895,3603,279524,11239,199371,10073
0500000US06099,6099,"Stanislaus County, California",2011,513037,879,295221,10645,217816,10689
0500000US06101,6101,"Sutter County, California",2011,93677,405,58567,4744,35110,4754
0500000US06107,6107,"Tulare County, California",2011,443077,943,245800,11586,197277,11576
0500000US06111,6111,"Ventura County, California",2011,821179,1482,536895,13316,284284,13357
0500000US06113,6113,"Yolo County, California",2011,194999,933,105929,6648,89070,6711
0500000US06115,6115,"Yuba County, California",2011,71356,711,38922,4006,32434,4186
0500000US06001,6001,"Alameda County, California",2012,1520267,2530,834240,18158,686027,18276
0500000US06007,6007,"Butte County, California",2012,215818,1778,121866,6248,93952,6327
0500000US06013,6013,"Contra Costa County, California",2012,1069034,1229,681047,15004,387987,15129
0500000US06017,6017,"El Dorado County, California",2012,178778,649,127651,5368,51127,5212
0500000US06019,6019,"Fresno County, California",2012,928883,1884,461107,11680,467776,11734
0500000US06023,6023,"Humboldt County, California",2012,130699,1030,71605,4385,59094,4479
0500000US06025,6025,"Imperial County, California",2012,164326,1436,93931,7026,70395,6969
0500000US06029,6029,"Kern County, California",2012,825319,2651,461540,14486,363779,14524
0500000US06031,6031,"Kings County, California",2012,131503,1459,63152,5178,68351,5194
0500000US06033,6033,"Lake County, California",2012,62902,619,36405,3443,26497,3467
0500000US06037,6037,"Los Angeles County, California",2012,9788572,5960,4733605,44446,5054967,44792
0500000US06039,6039,"Madera County, California",2012,144407,1338,78650,5893,65757,5967
0500000US06041,6041,"Marin County, California",2012,248143,1247,157374,5842,90769,5799
0500000US06045,6045,"Mendocino County, California",2012,85206,528,44902,3489,40304,3512
0500000US06047,6047,"Merced County, California",2012,256441,3595,133058,8505,123383,8173
0500000US06053,6053,"Monterey County, California",2012,407367,1684,188637,9745,218730,9709
0500000US06055,6055,"Napa County, California",2012,134151,1656,79135,4468,55016,4342
0500000US06057,6057,"Nevada County, California",2012,97107,767,68145,4222,28962,4350
0500000US06059,6059,"Orange County, California",2012,3048005,2846,1711868,22915,1336137,22753
0500000US06061,6061,"Placer County, California",2012,357369,1163,248338,8665,109031,8642
0500000US06065,6065,"Riverside County, California",2012,2234385,3007,1414012,26204,820373,25913
0500000US06067,6067,"Sacramento County, California",2012,1426417,2375,799655,16749,626762,17112
0500000US06071,6071,"San Bernardino County, California",2012,2036191,3382,1213268,25318,822923,24893
0500000US06073,6073,"San Diego County, California",2012,3087151,3857,1647025,23906,1440126,23777
0500000US06075,6075,"San Francisco County, California",2012,806064,3343,334646,10496,471418,10605
0500000US06077,6077,"San Joaquin County, California",2012,687460,1855,379109,12421,308351,12248
0500000US06079,6079,"San Luis Obispo County, California",2012,257595,2147,144303,6685,113292,7244
0500000US06081,6081,"San Mateo County, California",2012,729645,1310,422233,11300,307412,11329
0500000US06083,6083,"Santa Barbara County, California",2012,412020,2114,206307,9070,205713,9638
0500000US06085,6085,"Santa Clara County, California",2012,1805051,3334,1031201,17611,773850,17838
0500000US06087,6087,"Santa Cruz County, California",2012,255178,1748,138989,7508,116189,7355
0500000US06089,6089,"Shasta County, California",2012,176040,782,105946,4785,70094,4926
0500000US06095,6095,"Solano County, California",2012,408642,1763,237337,8633,171305,8418
