GeoID,Date,Total: - Less than 10.0 percent,Total: - 10.0 to 14.9 percent,Total: - 15.0 to 19.9 percent,Total: - 20.0 to 24.9 percent,Total: - 25.0 to 29.9 percent,Total: - 30.0 to 34.9 percent,Total: - 35.0 to 39.9 percent,Total: - 40.0 to 49.9 percent,Total: - 50.0 percent or more,Total: - Not computed
6013,12/31/2009,0.0226,0.0512,0.1104,0.1350,0.1252,0.0860,0.0808,0.1016,0.2467,0.0405
6017,12/31/2009,0.0298,0.0610,0.0822,0.1124,0.0940,0.1174,0.0600,0.1418,0.2143,0.0871
6019,12/31/2009,0.0348,0.0685,0.1036,0.1067,0.0989,0.0857,0.0648,0.1036,0.2663,0.0671
6023,12/31/2009,0.0031,0.0466,0.0837,0.0755,0.0893,0.0879,0.0603,0.0910,0.3993,0.0633
6025,12/31/2009,0.0612,0.0684,0.0651,0.0724,0.1310,0.0717,0.0678,0.0819,0.2944,0.0862
6029,12/31/2009,0.0311,0.0694,0.1070,0.0939,0.1120,0.0650,0.0737,0.1114,0.2765,0.0599
6031,12/31/2009,0.0217,0.0926,0.1302,0.1305,0.1127,0.0724,0.0403,0.0739,0.2214,0.1043
6033,12/31/2009,0.0232,0.0174,0.0381,0.0369,0.0945,0.1690,0.0499,0.1308,0.3827,0.0576
6037,12/31/2009,0.0235,0.0633,0.0991,0.1132,0.1133,0.0847,0.0696,0.0974,0.2919,0.0439
6039,12/31/2009,0.0325,0.0527,0.0795,0.0909,0.1231,0.0926,0.1262,0.1167,0.1765,0.1092
6041,12/31/2009,0.0276,0.0907,0.1188,0.0897,0.0986,0.1085,0.0590,0.1055,0.2792,0.0224
6045,12/31/2009,0.0537,0.0762,0.0699,0.0988,0.1259,0.0609,0.0456,0.0746,0.3247,0.0698
6047,12/31/2009,0.0094,0.0558,0.1047,0.0878,0.1279,0.0708,0.0784,0.1119,0.2565,0.0968
6053,12/31/2009,0.0084,0.0708,0.1090,0.1149,0.1320,0.0954,0.0755,0.0967,0.2433,0.0540
6055,12/31/2009,0.0191,0.0483,0.1243,0.1438,0.1428,0.0800,0.1006,0.0514,0.2471,0.0426
6057,12/31/2009,0.0218,0.0446,0.0650,0.0885,0.1053,0.1277,0.0670,0.1374,0.2793,0.0633
6059,12/31/2009,0.0221,0.0551,0.1047,0.1256,0.1303,0.0971,0.0670,0.1018,0.2547,0.0417
6061,12/31/2009,0.0035,0.0457,0.1182,0.1307,0.1415,0.1074,0.0892,0.1005,0.2202,0.0431
6065,12/31/2009,0.0175,0.0392,0.0918,0.1172,0.1215,0.1023,0.0621,0.0997,0.2910,0.0576
6067,12/31/2009,0.0185,0.0655,0.1078,0.1057,0.1189,0.0881,0.0875,0.1055,0.2616,0.0409
6071,12/31/2009,0.0222,0.0493,0.0884,0.1219,0.1095,0.0885,0.0749,0.1173,0.2746,0.0534
6073,12/31/2009,0.0206,0.0483,0.1000,0.1171,0.1095,0.1031,0.0806,0.1107,0.2699,0.0402
6075,12/31/2009,0.0536,0.1000,0.1361,0.1211,0.1139,0.0742,0.0658,0.0764,0.2127,0.0462
6077,12/31/2009,0.0292,0.0427,0.0982,0.1214,0.1147,0.0797,0.0807,0.0947,0.2854,0.0533
6079,12/31/2009,0.0234,0.0564,0.0968,0.0907,0.1075,0.0693,0.0804,0.0911,0.3432,0.0410
6081,12/31/2009,0.0239,0.0967,0.1319,0.1272,0.0985,0.0816,0.0726,0.0876,0.2484,0.0317
6083,12/31/2009,0.0222,0.0476,0.0924,0.1247,0.1168,0.0793,0.0916,0.1121,0.2654,0.0480
6085,12/31/2009,0.0366,0.0953,0.1212,0.1492,0.1173,0.0821,0.0583,0.0756,0.2204,0.0440
6087,12/31/2009,0.0258,0.0779,0.1057,0.0619,0.1110,0.0898,0.0713,0.0916,0.3099,0.0551
6089,12/31/2009,0.0256,0.0709,0.0708,0.1086,0.1269,0.0614,0.0817,0.0682,0.2891,0.0968
6095,12/31/2009,0.0166,0.0419,0.1428,0.1278,0.0898,0.0850,0.0687,0.0902,0.2933,0.0438
6097,12/31/2009,0.0216,0.0658,0.1148,0.1187,0.1277,0.0811,0.0760,0.0837,0.2544,0.0562
6099,12/31/2009,0.0103,0.0631,0.1273,0.1054,0.0898,0.0922,0.0759,0.0885,0.2880,0.0595
6101,12/31/2009,0.0273,0.0492,0.1385,0.1731,0.1145,0.0679,0.0594,0.0900,0.2409,0.0392
6107,12/31/2009,0.0315,0.0677,0.0999,0.1377,0.0954,0.0770,0.0763,0.0836,0.2692,0.0617
6111,12/31/2009,0.0190,0.0581,0.1127,0.1110,0.1075,0.0782,0.0832,0.1094,0.2791,0.0417
6113,12/31/2009,0.0264,0.0443,0.1071,0.1091,0.1009,0.1075,0.0557,0.0913,0.3012,0.0565
6115,12/31/2009,0.0305,0.0178,0.1222,0.0862,0.0375,0.1318,0.1279,0.0996,0.2534,0.0931
6001,12/31/2008,0.0287,0.0806,0.1155,0.1222,0.1100,0.0818,0.0635,0.0881,0.2660,0.0436
6007,12/31/2008,0.0274,0.0228,0.0987,0.1213,0.0912,0.0836,0.0560,0.1216,0.3281,0.0493
6013,12/31/2008,0.0244,0.0599,0.1112,0.1170,0.1024,0.0878,0.0654,0.1006,0.2823,0.0491
6017,12/31/2008,0.0297,0.0741,0.0771,0.2043,0.0979,0.0810,0.0605,0.0918,0.2429,0.0407
6019,12/31/2008,0.0386,0.0766,0.0917,0.1051,0.0949,0.0915,0.0626,0.0955,0.2952,0.0482
6023,12/31/2008,0.0164,0.0427,0.1097,0.1413,0.0948,0.0636,0.0627,0.0921,0.3069,0.0698
6025,12/31/2008,0.0313,0.1018,0.0995,0.1120,0.0972,0.0863,0.0529,0.1465,0.2115,0.0612
6029,12/31/2008,0.0542,0.0670,0.1042,0.0879,0.0885,0.0812,0.0618,0.1165,0.2808,0.0578
6031,12/31/2008,0.0688,0.0960,0.1626,0.0883,0.0772,0.1293,0.0906,0.0462,0.1493,0.0916
6033,12/31/2008,0.0048,0.0915,0.0509,0.1524,0.0822,0.0592,0.0822,0.1595,0.2269,0.0905
6037,12/31/2008,0.0266,0.0661,0.1026,0.1116,0.1094,0.0893,0.0663,0.1034,0.2848,0.0400
6039,12/31/2008,0.0322,0.0283,0.1020,0.1198,0.0939,0.1372,0.0521,0.0704,0.2351,0.1289
6041,12/31/2008,0.0312,0.0416,0.1059,0.1448,0.1018,0.1194,0.0710,0.0715,0.2688,0.0441
6045,12/31/2008,0.0315,0.0566,0.0356,0.1284,0.1097,0.0548,0.0452,0.0518,0.3934,0.0930
6047,12/31/2008,0.0557,0.0586,0.1043,0.0889,0.0902,0.0887,0.0591,0.0870,0.2833,0.0840
6053,12/31/2008,0.0201,0.0702,0.1444,0.1252,0.1499,0.1061,0.0865,0.0746,0.1790,0.0441
