GeoID,Date,"Car, truck, or van:","Car, truck, or van: - Drove alone","Car, truck, or van: - Carpooled:","Car, truck, or van: - Carpooled: - In 2-person carpool","Car, truck, or van: - Carpooled: - In 3-person carpool","Car, truck, or van: - Carpooled: - In 4-person carpool","Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Car, truck, or van: - Carpooled: - In 7-or-more-person carpool",Public transportation (excluding taxicab):,Public transportation (excluding taxicab): - Bus or trolley bus,Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Public transportation (excluding taxicab): - Subway or elevated,Public transportation (excluding taxicab): - Railroad,Public transportation (excluding taxicab): - Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home
6083,31/12/2008,0.8219,0.6473,0.1747,0.1214,0.0359,0.0090,0.0042,0.0042,0.0325,0.0320,0.0000,0.0000,0.0004,0.0000,0.0002,0.0077,0.0319,0.0387,0.0079,0.0591
6085,31/12/2008,0.8650,0.7664,0.0986,0.0779,0.0138,0.0037,0.0010,0.0021,0.0384,0.0255,0.0028,0.0014,0.0088,0.0000,0.0005,0.0042,0.0171,0.0222,0.0134,0.0391
6087,31/12/2008,0.8000,0.6937,0.1062,0.0755,0.0196,0.0071,0.0031,0.0009,0.0283,0.0283,0.0000,0.0000,0.0000,0.0000,0.0004,0.0023,0.0448,0.0523,0.0061,0.0657
6089,31/12/2008,0.9027,0.7984,0.1044,0.0785,0.0090,0.0141,0.0000,0.0027,0.0044,0.0044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0059,0.0228,0.0137,0.0496
6095,31/12/2008,0.8846,0.7656,0.1190,0.0904,0.0215,0.0045,0.0009,0.0017,0.0248,0.0230,0.0008,0.0000,0.0001,0.0009,0.0035,0.0021,0.0027,0.0172,0.0199,0.0450
6097,31/12/2008,0.8412,0.7379,0.1033,0.0866,0.0113,0.0032,0.0002,0.0020,0.0174,0.0174,0.0000,0.0000,0.0000,0.0000,0.0003,0.0034,0.0191,0.0336,0.0122,0.0727
6099,31/12/2008,0.8909,0.8086,0.0823,0.0638,0.0144,0.0022,0.0016,0.0002,0.0070,0.0070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0052,0.0105,0.0293,0.0163,0.0408
6107,31/12/2008,0.9218,0.7189,0.2029,0.1319,0.0402,0.0084,0.0135,0.0089,0.0079,0.0079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,0.0039,0.0188,0.0062,0.0375
6111,31/12/2008,0.8986,0.7762,0.1224,0.0749,0.0239,0.0120,0.0105,0.0011,0.0086,0.0081,0.0000,0.0001,0.0004,0.0000,0.0004,0.0034,0.0055,0.0191,0.0071,0.0574
6113,31/12/2008,0.8332,0.7139,0.1193,0.0958,0.0163,0.0027,0.0002,0.0043,0.0303,0.0242,0.0018,0.0000,0.0043,0.0000,0.0006,0.0031,0.0656,0.0262,0.0158,0.0252
6001,31/12/2009,0.8023,0.6997,0.1026,0.0800,0.0155,0.0032,0.0017,0.0022,0.0802,0.0361,0.0005,0.0397,0.0036,0.0003,0.0001,0.0044,0.0174,0.0333,0.0104,0.0519
6007,31/12/2009,0.8391,0.7284,0.1107,0.0869,0.0171,0.0055,0.0012,0.0000,0.0087,0.0087,0.0000,0.0000,0.0000,0.0000,0.0006,0.0013,0.0286,0.0592,0.0029,0.0596
6013,31/12/2009,0.8652,0.7524,0.1129,0.0905,0.0123,0.0056,0.0019,0.0027,0.0286,0.0167,0.0011,0.0092,0.0016,0.0000,0.0007,0.0026,0.0054,0.0228,0.0051,0.0694
6017,31/12/2009,0.8471,0.7232,0.1239,0.0741,0.0179,0.0238,0.0034,0.0046,0.0010,0.0010,0.0000,0.0000,0.0000,0.0000,0.0074,0.0019,0.0061,0.0244,0.0077,0.1043
6019,31/12/2009,0.8865,0.7720,0.1145,0.0810,0.0147,0.0097,0.0047,0.0044,0.0127,0.0116,0.0004,0.0006,0.0002,0.0000,0.0004,0.0020,0.0071,0.0238,0.0287,0.0389
6025,31/12/2009,0.8822,0.7866,0.0956,0.0718,0.0088,0.0115,0.0006,0.0029,0.0181,0.0181,0.0000,0.0000,0.0000,0.0000,0.0044,0.0010,0.0054,0.0249,0.0103,0.0536
6029,31/12/2009,0.9298,0.7523,0.1775,0.1087,0.0259,0.0238,0.0121,0.0071,0.0065,0.0063,0.0002,0.0000,0.0000,0.0000,0.0004,0.0043,0.0045,0.0162,0.0083,0.0299
6031,31/12/2009,0.9058,0.7598,0.1460,0.0719,0.0149,0.0205,0.0089,0.0298,0.0144,0.0144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0038,0.0082,0.0210,0.0106,0.0361
